Feature,VIF
max_degree,304.22
avg_degree,303.04
degree_skew,242.44
op_count_traversal,225.67
has_traversal,221.59
op_count_join,76.91
ast_depth,64.71
num_tables_joined,53.37
op_count_filter,47.62
output_cardinality_log,46.97
estimated_shuffle_bytes_log,39.37
op_count_aggregate,29.7
selectivity,26.4
max_hops,24.54
input_cardinality_log,6.52
estimated_traversal_ops,5.71
join_fanout,5.64
op_count_map,5.41
has_index,4.85
num_projected_columns,2.29
hist_runtime_variance,1.13
hist_avg_runtime_ms,1.04
